A1 should do:
 Day:0 Time:8:02 seletced:M1 ,time when there:Day:0 Time:8:03 time to travel:2
 Connection(from:Base to:M1): Direct connection distance:273.0m
Day:0 Time:16:09 Completed on M2 %0.69
Day:0 Time:16:10 Completed on M2 %0.71
Day:0 Time:16:11 Completed on M2 %0.7
Day:0 Time:16:12 Completed on M2 %0.71
Day:0 Time:16:13 Completed on M2 %0.69
Day:0 Time:16:14 Completed on M2 %0.7
Day:0 Time:16:15 Completed on M2 %0.7
Day:0 Time:16:16 Completed on M2 %0.7
Day:0 Time:16:17 Completed on M2 %0.69
Day:0 Time:16:18 Completed on M2 %0.7
Day:0 Time:16:19 Completed on M2 %0.7
Day:0 Time:16:20 Completed on M2 %0.7
Day:0 Time:16:21 Completed on M2 %0.7
Day:0 Time:16:22 Completed on M2 %0.7
Day:0 Time:16:23 Completed on M2 %0.7
Day:0 Time:16:24 Completed on M2 %0.7
Day:0 Time:16:25 Completed on M2 %0.69
Day:0 Time:16:26 Completed on M2 %0.7
Day:0 Time:16:27 Completed on M2 %0.69
Day:0 Time:16:28 Completed on M2 %0.69
Day:0 Time:16:29 Completed on M2 %0.7
Day:0 Time:16:30 Completed on M2 %0.7
Day:0 Time:16:31 Completed on M2 %0.7
Day:0 Time:16:32 Completed on M2 %0.7
Day:0 Time:16:33 Completed on M2 %0.71
Day:0 Time:16:34 Completed on M2 %0.69
Day:0 Time:16:35 Completed on M2 %0.7
Day:0 Time:16:36 Completed on M2 %0.7
Day:0 Time:16:37 Completed on M2 %0.7
Day:0 Time:16:38 Completed on M2 %0.7
Day:0 Time:16:39 Completed on M2 %0.69
Day:0 Time:16:40 Completed on M2 %0.7
Day:0 Time:16:41 Completed on M2 %0.7
Day:0 Time:16:42 Completed on M2 %0.7
Day:0 Time:16:43 Completed on M2 %0.7
Day:0 Time:16:44 Completed on M2 %0.7
Day:0 Time:16:45 Completed on M2 %0.69
Day:0 Time:16:46 Completed on M2 %0.7
Day:0 Time:16:47 Completed on M2 %0.7
Day:0 Time:16:48 Added to M2 %0.03
All parcels are ready, return to base 
 Day:0 Time:16:48 seletced:Base ,time when there:Day:0 Time:16:54 time to travel:6
 Connection(from:M2 to:Base): M2->M1->Base distance:1160.0m

 Area:8.56(Price:856.93) distance:2918
